,Unnamed: 0,Curve_idx,Dataset_idx,Learner_idx,Learner_name,Model,SMAPE,MAE,MSE,Cutoff_idx,Cutoff_percentage,Train_points,Test_points,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank,Scenario
87,539,140,98,1,SVC_poly,POW4,0.357421765728563,0.0061270055903047,6.481856273503083e-05,25,0.1,25,43,135,3.0,3.0,3.0,3.0,Flat
88,548,142,71,14,BernoulliNB,LC-PFN,0.2928936621174216,0.004432441201061,2.181594754802063e-05,25,0.1,25,37,138,2.0,2.0,2.0,2.0,Flat
89,549,142,71,14,BernoulliNB,MMF4,0.4100401401845073,0.0062011739751286,4.090789909636394e-05,25,0.1,25,37,138,3.0,3.0,3.0,3.0,Flat
90,550,142,71,14,BernoulliNB,WBL4,0.5156736089163799,0.0077900222021311,6.401095097341817e-05,25,0.1,25,37,138,4.0,4.0,4.0,4.0,Flat
91,551,142,71,14,BernoulliNB,POW4,0.1407863759597357,0.0021424101910203,6.931344460161678e-06,25,0.1,25,37,138,1.0,1.0,1.0,1.0,Flat
92,580,151,111,1,SVC_poly,LC-PFN,0.2898732200264931,0.0036791507154703,3.018656025233213e-05,25,0.1,25,21,146,1.0,1.0,1.0,1.0,Flat
93,581,151,111,1,SVC_poly,MMF4,1.816606938708636,0.0246820209910472,0.0011209594033799,25,0.1,25,21,146,3.0,3.0,3.0,3.0,Flat
94,582,151,111,1,SVC_poly,WBL4,5.591956628770835,0.0818281346119886,0.0118047638092734,25,0.1,25,21,146,4.0,4.0,4.0,4.0,Flat
95,583,151,111,1,SVC_poly,POW4,0.9362959248373536,0.0117683463793025,0.0001784512516258,25,0.1,25,21,146,2.0,2.0,2.0,2.0,Flat
96,628,165,190,3,SVC_sigmoid,LC-PFN,7.103469222784042,0.0685553178191185,0.0073235817253589,25,0.1,25,40,158,3.0,3.0,3.0,3.0,Flat
97,629,165,190,3,SVC_sigmoid,MMF4,6.1167638306893934,0.0569755402521432,0.0042529357629304,25,0.1,25,40,158,2.0,2.0,2.0,2.0,Flat
98,630,165,190,3,SVC_sigmoid,WBL4,2.441648511924713,0.0216086521650839,0.0006741645095804,25,0.1,25,40,158,1.0,1.0,1.0,1.0,Flat
99,631,165,190,3,SVC_sigmoid,POW4,8.30536677084028,0.0810170212360592,0.0096008072248201,25,0.1,25,40,158,4.0,4.0,4.0,4.0,Flat
100,668,177,8,14,BernoulliNB,LC-PFN,4.159234836697578,0.0398494414985179,0.0017894939519464,25,0.1,25,29,168,2.0,2.0,2.0,2.0,Flat
101,669,177,8,14,BernoulliNB,MMF4,4.499032106827749,0.0433126489393214,0.0021551346390677,25,0.1,25,29,168,3.0,3.0,3.0,3.0,Flat
102,670,177,8,14,BernoulliNB,WBL4,2.846348935381911,0.0267788000569419,0.0007796514029275,25,0.1,25,29,168,1.0,1.0,1.0,1.0,Flat
