Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,Curve_idx,SMAPE,MAE,MSE
POW4,Flat,0.1,Flat_10%,187,0.9661573776344637,0.01844132309360088,0.0004909759564888925
LC-PFN,Flat,0.1,Flat_10%,787,0.12018134584650397,0.002252332866191864,5.073121883469867e-06
MMF4,Flat,0.1,Flat_10%,787,9.563137244305842e-06,1.7900844972202584e-07,4.45893380491262e-14
WBL4,Flat,0.1,Flat_10%,787,9.53255049930837e-09,1.7843593269617486e-10,3.1839382077153844e-20
POW4,Flat,0.1,Flat_10%,787,3.343592604340854e-07,6.258734929130507e-09,5.4368600799083146e-17
LC-PFN,Flat,0.1,Flat_10%,511,0.769558735191822,0.01409984938800335,0.0002297183673363179
MMF4,Flat,0.1,Flat_10%,511,0.4051805799521596,0.00744904076642672,6.827561614728538e-05
WBL4,Flat,0.1,Flat_10%,511,0.33538398433189354,0.006166329732549994,5.5462064449222704e-05
POW4,Flat,0.1,Flat_10%,511,0.33538402714242227,0.006166330521013297,5.546206245009991e-05
LC-PFN,Flat,0.1,Flat_10%,2708,0.33253871370106936,0.0063289618119597435,4.425568113219924e-05
MMF4,Flat,0.1,Flat_10%,2708,1.553437397369984,0.030085278931174117,0.0011464795481985327
WBL4,Flat,0.1,Flat_10%,2708,0.048292435554029796,0.0009141765821980933,5.947536643364041e-06
POW4,Flat,0.1,Flat_10%,2708,0.12497989586004465,0.0023719930758393606,1.0333438081252505e-05
LC-PFN,Flat,0.1,Flat_10%,933,3.5503286868333817,0.06546688824892044,0.004560776054859161
MMF4,Flat,0.1,Flat_10%,933,2.1445838748041335,0.03893680922545083,0.0016040367772405578
WBL4,Flat,0.1,Flat_10%,933,2.045662923664991,0.03710102488463575,0.0014628755577433693
POW4,Flat,0.1,Flat_10%,933,4.592122800813874,0.08581849939998773,0.00821852536723118
LC-PFN,Flat,0.1,Flat_10%,1185,0.2424333244562149,0.004592902027070522,2.109505658154376e-05
MMF4,Flat,0.1,Flat_10%,1185,2.4789616099833307e-05,4.685008443585852e-07,2.9702013281671644e-13
WBL4,Flat,0.1,Flat_10%,1185,1.866151095921513e-08,3.526854364110932e-10,1.2438701705648325e-19
POW4,Flat,0.1,Flat_10%,1185,2.449799884950531e-07,4.6298970189107966e-09,2.1474428085866553e-17
LC-PFN,Flat,0.1,Flat_10%,326,6.395948678255081,0.06959139555692673,0.006048472132533789
MMF4,Flat,0.1,Flat_10%,326,0.8009770791576795,0.008022390273373805,0.00010037799545895786
WBL4,Flat,0.1,Flat_10%,326,5.983121657092404,0.06631151960586197,0.007061148939588332
POW4,Flat,0.1,Flat_10%,326,0.968520960744744,0.009725451966394624,0.0001508370503471863
LC-PFN,Flat,0.1,Flat_10%,413,0.4933393560349941,0.008619074709713459,0.0001559798838570714
MMF4,Flat,0.1,Flat_10%,413,1.02217117333423,0.017708818600502108,0.0005417109298866546
WBL4,Flat,0.1,Flat_10%,413,0.39272049518906105,0.006847103499081097,0.00017681755805635036
POW4,Flat,0.1,Flat_10%,413,0.39272051392557283,0.00684710383039993,0.00017681756483458604
LC-PFN,Flat,0.1,Flat_10%,953,2.064521238207817,0.039228666573762894,0.0016722967848181725
MMF4,Flat,0.1,Flat_10%,953,3.0574970091391216,0.05883747925392113,0.0036915687864365466
WBL4,Flat,0.1,Flat_10%,953,0.60467969618388,0.011258363688031013,0.00018064044711030427
POW4,Flat,0.1,Flat_10%,953,2.0036805496462895,0.0381736025385672,0.0015725035637860643
LC-PFN,Flat,0.1,Flat_10%,2815,0.6575829815119505,0.011676906608045101,0.00017746425874065608
MMF4,Flat,0.1,Flat_10%,2815,0.6964329588653692,0.012359072350083265,0.00022824783058946968
WBL4,Flat,0.1,Flat_10%,2815,0.5566388736210699,0.009898582780566807,0.00014068301832633793
POW4,Flat,0.1,Flat_10%,2815,0.5566388892912143,0.009898583057088047,0.00014068302522998556
LC-PFN,Flat,0.1,Flat_10%,1857,0.13034631265327334,0.0025795733090490103,9.592985406925436e-06
MMF4,Flat,0.1,Flat_10%,1857,0.28664883543737363,0.005664659999136286,3.8164162572834185e-05
WBL4,Flat,0.1,Flat_10%,1857,0.2866401199488085,0.005664488345797969,3.8161964418673044e-05
