,Curve_idx,Dataset_idx,Learner_idx,Learner_name,Model,SMAPE,MAE,MSE,Cutoff_idx,Cutoff_percentage,Train_points,Test_points,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
91,19,60,6,LogisticRegression,POW4,0.6306218298270719,0.0125333982511505,0.0001570860717219,25,0.1,25,2,23,3.0,3.0,3.0,3.0
92,29,193,7,PassiveAggressive,LC-PFN,14.2379030585289,0.0333950147032737,0.0011536409147083,25,0.1,25,87,24,4.0,4.0,4.0,4.0
93,29,193,7,PassiveAggressive,MMF4,8.595760301702905,0.0149073201739998,0.0003895376102627,25,0.1,25,87,24,3.0,3.0,3.0,3.0
94,29,193,7,PassiveAggressive,WBL4,0.3100191310594937,0.0006208367838666,6.294392089863543e-07,25,0.1,25,87,24,2.0,2.0,2.0,2.0
95,29,193,7,PassiveAggressive,POW4,0.3100191299295159,0.0006208367815942,6.294392054925802e-07,25,0.1,25,87,24,1.0,1.0,1.0,1.0
96,20,130,1,SVC_poly,LC-PFN,1.1039361357688904,0.0199914947152137,0.0004363034968264,25,0.1,25,44,25,4.0,4.0,4.0,4.0
97,20,130,1,SVC_poly,MMF4,0.0462571899800496,0.0008271921600097,7.540751706525584e-07,25,0.1,25,44,25,3.0,3.0,3.0,3.0
98,20,130,1,SVC_poly,WBL4,0.0432116330962639,0.0007727562106476,6.565382742733403e-07,25,0.1,25,44,25,2.0,2.0,2.0,2.0
99,20,130,1,SVC_poly,POW4,0.0231335357862535,0.0004137787903673,2.137467241669053e-07,25,0.1,25,44,25,1.0,1.0,1.0,1.0
100,32,253,16,ComplementNB,LC-PFN,13.733555376529694,0.065602421760559,0.0045903720892965,25,0.1,25,47,26,4.0,3.0,3.0,3.3333333333333335
101,32,253,16,ComplementNB,MMF4,2.0265368929837027,0.0113574185027189,0.0001704692737155,25,0.1,25,47,26,1.0,1.0,1.0,1.0
102,32,253,16,ComplementNB,WBL4,5.061652715560353,0.0274531599003308,0.0009762667702368,25,0.1,25,47,26,2.0,2.0,2.0,2.0
103,32,253,16,ComplementNB,POW4,10.66966034497188,0.0707796506004884,0.0064651397428066,25,0.1,25,47,26,3.0,4.0,4.0,3.6666666666666665
104,30,20,11,MLP,LC-PFN,1.0990814305841925,0.0150685012340545,0.0003689188160933,25,0.1,25,18,27,4.0,4.0,4.0,4.0
105,30,20,11,MLP,MMF4,0.5618576169441369,0.0076050443086369,0.0001233087224446,25,0.1,25,18,27,2.0,2.0,2.0,2.0
106,30,20,11,MLP,WBL4,0.5977219660149743,0.0080941870905411,0.0001158003605142,25,0.1,25,18,27,3.0,3.0,1.0,2.3333333333333335
107,30,20,11,MLP,POW4,0.5548333559292341,0.0075089893787847,0.0001280846804375,25,0.1,25,18,27,1.0,1.0,3.0,1.6666666666666667
108,28,103,7,PassiveAggressive,LC-PFN,0.6923911161720753,0.0128989657387137,0.0002742982469499,25,0.1,25,22,28,1.0,1.0,1.0,1.0
109,28,103,7,PassiveAggressive,MMF4,2.3555069795487174,0.0433902458262157,0.0020251844509726,25,0.1,25,22,28,3.0,3.0,3.0,3.0
110,28,103,7,PassiveAggressive,WBL4,3.0323208466283136,0.0554750986936378,0.0032903576840732,25,0.1,25,22,28,4.0,4.0,4.0,4.0
111,28,103,7,PassiveAggressive,POW4,0.9102808696656756,0.0168693660538148,0.0004633106449657,25,0.1,25,22,28,2.0,2.0,2.0,2.0
112,26,194,6,LogisticRegression,LC-PFN,20.239701867103577,0.0808300897479057,0.0065747862681746,25,0.1,25,80,29,4.0,4.0,4.0,4.0
113,26,194,6,LogisticRegression,MMF4,8.16193869544786,0.0366109842697353,0.0014429812995031,25,0.1,25,80,29,2.0,2.0,2.0,2.0
114,26,194,6,LogisticRegression,WBL4,8.163757458285742,0.0366184816183839,0.0014435303326759,25,0.1,25,80,29,3.0,3.0,3.0,3.0
115,26,194,6,LogisticRegression,POW4,7.316018285108453,0.0330957426488937,0.0011939700596485,25,0.1,25,80,29,1.0,1.0,1.0,1.0
116,34,254,1,SVC_poly,LC-PFN,8.630041778087616,0.0768122225999832,0.0060234488919377,25,0.1,25,68,30,1.0,1.0,1.0,1.0
117,34,254,1,SVC_poly,MMF4,12.604606844084817,0.1109772093940585,0.015073287058993,25,0.1,25,68,30,3.0,3.0,3.0,3.0
118,34,254,1,SVC_poly,WBL4,12.815136307953082,0.1125825636514792,0.0154881375501541,25,0.1,25,68,30,4.0,4.0,4.0,4.0
119,34,254,1,SVC_poly,POW4,11.902973498890416,0.1055930401264868,0.0138046541735779,25,0.1,25,68,30,2.0,2.0,2.0,2.0
120,24,191,3,SVC_sigmoid,LC-PFN,5.547769740223885,0.0321767926216125,0.0021828070748597,25,0.1,25,3,31,1.0,1.0,3.0,1.6666666666666667
121,24,191,3,SVC_sigmoid,MMF4,6.232353483586075,0.0366900182337033,0.0013552847163207,25,0.1,25,3,31,2.0,2.0,1.0,1.6666666666666667
122,24,191,3,SVC_sigmoid,WBL4,12.19402381367746,0.0786388988524611,0.0076042613816982,25,0.1,25,3,31,4.0,4.0,4.0,4.0
123,24,191,3,SVC_sigmoid,POW4,7.081643108235605,0.0420559221229296,0.0020857425615763,25,0.1,25,3,31,3.0,3.0,2.0,2.6666666666666665
124,33,5,3,SVC_sigmoid,LC-PFN,23.756229877471924,0.0876493379473686,0.010482563637197,25,0.1,25,29,32,1.0,1.0,1.0,1.0
125,33,5,3,SVC_sigmoid,MMF4,28.20535703982488,0.0994052941456865,0.0128757592695787,25,0.1,25,29,32,4.0,4.0,4.0,4.0
126,33,5,3,SVC_sigmoid,WBL4,27.7788925949979,0.0983261302113467,0.0126623746475788,25,0.1,25,29,32,2.0,2.0,2.0,2.0
127,33,5,3,SVC_sigmoid,POW4,27.77889266421372,0.0983261303868212,0.012662374681625,25,0.1,25,29,32,3.0,3.0,3.0,3.0
128,31,44,15,MultinomialNB,LC-PFN,0.7573804352432489,0.0118784205988049,0.0001448557450203,25,0.1,25,6,33,4.0,4.0,4.0,4.0
129,31,44,15,MultinomialNB,MMF4,0.2224359845904667,0.0035103357574748,1.6798047180048443e-05,25,0.1,25,6,33,1.0,1.0,1.0,1.0
130,31,44,15,MultinomialNB,WBL4,0.3440815905426167,0.0054218905480576,3.51061105442291e-05,25,0.1,25,6,33,3.0,3.0,3.0,3.0
131,31,44,15,MultinomialNB,POW4,0.2426220324103253,0.0038278908000837,1.928351989750377e-05,25,0.1,25,6,33,2.0,2.0,2.0,2.0
