Model,Scenario,Cutoff_Percentage,Scenario_Cutoff,SMAPE,MAE,MSE,curve_idx,SMAPE_rank,MAE_rank,MSE_rank,Average_rank
WBL4,KDKL,0.1,KDKL_10%,27.558773978692773,0.28187925074508907,0.11362621129762625,46,2.0,2.0,2.0,2.0
POW4,KDKL,0.1,KDKL_10%,27.558774271825154,0.28187925376164685,0.11362621697748305,46,3.0,3.0,3.0,3.0
LC-PFN,KDKL,0.1,KDKL_10%,7.005446434020996,0.02663508616387844,0.0010063471272587776,47,3.0,3.0,3.0,3.0
MMF4,KDKL,0.1,KDKL_10%,8.550642161104136,0.03194396145109416,0.0014508064001698792,47,4.0,4.0,4.0,4.0
WBL4,KDKL,0.1,KDKL_10%,5.851925032187563,0.02277777777599089,0.0007634087790090002,47,1.0,1.0,1.0,1.0
POW4,KDKL,0.1,KDKL_10%,5.85192503585515,0.02277777779121449,0.0007634087793029718,47,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.1,KDKL_10%,5.736656665802002,0.08310070633888245,0.008611752651631832,48,1.0,1.0,1.0,1.0
MMF4,KDKL,0.1,KDKL_10%,6.474278691458695,0.09300982276959668,0.010916195904134361,48,3.0,3.0,3.0,3.0
WBL4,KDKL,0.1,KDKL_10%,6.478655519310596,0.09306791130402081,0.010927004963472674,48,4.0,4.0,4.0,4.0
POW4,KDKL,0.1,KDKL_10%,6.401956974855478,0.09204906936792125,0.010732239180155274,48,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.3,KDKL_30%,0.4480811357498169,0.008486557751893997,0.00015804899157956243,49,4.0,4.0,1.0,3.0
MMF4,KDKL,0.3,KDKL_30%,0.42902213966235037,0.0081212044585274,0.00021024368600622902,49,1.0,1.0,2.0,1.3333333333333333
WBL4,KDKL,0.3,KDKL_30%,0.42902254150834096,0.008121212182215539,0.00021024690862602932,49,3.0,3.0,3.0,3.0
POW4,KDKL,0.3,KDKL_30%,0.42902253840924504,0.008121212122765153,0.00021024691353983935,49,2.0,2.0,4.0,2.6666666666666665
LC-PFN,KDKL,0.3,KDKL_30%,5.055959701538086,0.05894665792584419,0.004433858208358288,50,1.0,1.0,1.0,1.0
MMF4,KDKL,0.3,KDKL_30%,10.34954385353908,0.1328638528329487,0.02550971201488294,50,3.0,3.0,3.0,3.0
WBL4,KDKL,0.3,KDKL_30%,11.51887026313204,0.15162563415840527,0.03428170708762801,50,4.0,4.0,4.0,4.0
POW4,KDKL,0.3,KDKL_30%,6.097716947110171,0.07273371117298619,0.0074251894663147746,50,2.0,2.0,2.0,2.0
LC-PFN,KDKL,0.3,KDKL_30%,1.7387446165084839,0.02899051085114479,0.001231520320288837,51,2.0,2.0,2.0,2.0
